,shape,price,carat,cut,color,clarity,report,type
436,2,490,0.3,2,5,3,1,1
437,4,490,0.3,4,1,3,1,1
438,2,490,0.3,2,5,7,1,1
439,9,490,0.25,2,2,5,1,1
440,9,490,0.27,3,5,7,1,1
441,4,490,0.34,2,5,5,1,1
442,4,490,0.35,2,3,3,1,1
443,9,490,0.3,3,5,2,1,1
444,9,490,0.3,4,2,3,1,1
445,9,490,0.31,3,5,7,1,1
446,9,490,0.3,3,4,2,1,1
447,9,490,0.33,3,6,4,1,1
448,9,490,0.33,3,5,3,1,1
449,9,490,0.31,4,3,3,1,1
450,9,490,0.3,4,5,2,1,1
451,2,490,0.31,4,2,2,1,1
452,7,490,0.3,2,4,5,1,1
453,7,500,0.3,2,1,3,1,1
454,7,500,0.32,2,5,7,1,1
455,7,500,0.3,2,3,4,1,1
456,7,500,0.3,2,2,2,1,1
457,7,500,0.3,4,1,3,1,1
458,7,500,0.3,1,1,2,1,1
459,9,500,0.3,4,6,4,1,1
460,4,500,0.3,2,2,2,1,1
461,9,500,0.3,4,4,3,1,1
462,6,500,0.3,2,2,3,1,1
463,6,500,0.3,2,1,2,1,1
464,6,500,0.3,2,6,6,1,1
465,9,500,0.34,3,2,3,1,1
466,9,500,0.33,3,1,3,1,1
467,9,500,0.3,3,5,5,1,1
468,9,500,0.3,4,2,3,1,1
469,2,500,0.4,2,4,3,1,1
470,2,500,0.34,2,2,3,1,1
471,9,500,0.3,2,6,5,1,1
472,9,500,0.3,1,3,2,1,1
473,7,500,0.31,2,1,3,1,1
474,7,500,0.3,4,2,2,1,1
475,9,500,0.29,4,6,5,1,1
476,9,500,0.3,1,2,3,1,1
477,6,500,0.3,2,2,2,1,1
478,4,500,0.3,2,4,2,1,1
479,6,500,0.3,4,3,2,1,1
480,9,500,0.3,3,5,6,1,1
481,9,500,0.3,4,1,2,1,1
482,9,500,0.32,3,4,2,1,1
483,9,500,0.3,2,2,3,1,1
484,2,500,0.35,2,5,7,1,1
485,9,500,0.34,2,2,3,1,1
486,2,500,0.3,2,2,2,1,1
487,3,500,0.31,4,3,3,1,1
488,4,500,0.33,2,4,2,1,1
489,9,500,0.3,4,5,2,1,1
490,7,500,0.27,4,1,5,1,1
491,7,500,0.32,2,2,3,1,1
492,7,500,0.3,4,3,4,1,1
493,7,500,0.26,2,1,5,1,1
494,9,500,0.3,2,6,7,1,1
495,9,500,0.25,2,4,4,1,1
496,9,500,0.3,3,6,2,1,1
497,9,500,0.3,2,5,2,1,1
498,6,500,0.3,2,5,5,1,1
499,6,500,0.31,2,3,2,1,1
500,9,500,0.33,3,5,5,1,1
501,9,500,0.31,3,6,4,1,1
502,9,500,0.3,3,5,4,1,1
503,9,500,0.36,3,6,5,1,1
504,9,500,0.25,3,4,4,1,1
505,9,500,0.32,2,5,5,1,1
506,9,500,0.3,3,5,3,1,1
507,6,500,0.3,2,4,2,1,1
508,2,500,0.3,1,0,2,1,1
